epoch, loss, 
0, 1.1749333, 
1, 1.1240344, 
2, 1.0749993, 
3, 1.0277739, 
4, 0.9822991, 
5, 0.9385092, 
6, 0.8963328, 
7, 0.8556907, 
8, 0.8164985, 
9, 0.7786696, 
10, 0.7421237, 
11, 0.70679474, 
12, 0.67263556, 
13, 0.63961923, 
14, 0.60773534, 
15, 0.57698834, 
16, 0.5473937, 
17, 0.5189748, 
18, 0.49176168, 
19, 0.46578887, 
20, 0.4410941, 
21, 0.4177169, 
22, 0.39569858, 
23, 0.37508076, 
24, 0.35590515, 
25, 0.3382126, 
26, 0.32204312, 
27, 0.30743465, 
28, 0.29442322, 
29, 0.28304195, 
30, 0.27332065, 
31, 0.26528513, 
32, 0.2589571, 
33, 0.2543545, 
34, 0.2514917, 
35, 0.25037867, 
36, 0.25100416, 
37, 0.25035372, 
38, 0.25096196, 
39, 0.25032982, 
40, 0.25092226, 
41, 0.2503069, 
42, 0.2508851, 
43, 0.25028503, 
44, 0.25085032, 
45, 0.25026417, 
46, 0.2508179, 
47, 0.25024426, 
48, 0.25078762, 
49, 0.2502253, 
50, 0.25075927, 
51, 0.2502072, 
52, 0.25073272, 
53, 0.25019, 
54, 0.2507078, 
55, 0.25017363, 
56, 0.25068432, 
57, 0.25015804, 
58, 0.25066215, 
59, 0.25014323, 
60, 0.2506411, 
61, 0.25012916, 
62, 0.2506211, 
63, 0.25011584, 
64, 0.2506021, 
65, 0.25010318, 
66, 0.25058395, 
67, 0.25009114, 
68, 0.2505666, 
69, 0.25007972, 
70, 0.25054997, 
71, 0.25006884, 
72, 0.25053406, 
73, 0.25005856, 
74, 0.25051877, 
75, 0.25004876, 
76, 0.25050408, 
77, 0.25003934, 
78, 0.25048998, 
79, 0.25003034, 
80, 0.25047642, 
81, 0.25002167, 
82, 0.2504633, 
83, 0.2500133, 
84, 0.25045064, 
85, 0.2500051, 
86, 0.2504384, 
87, 0.24999708, 
88, 0.2504265, 
89, 0.24998915, 
90, 0.25041494, 
91, 0.24998124, 
92, 0.2504036, 
93, 0.24997333, 
94, 0.25039253, 
95, 0.2499653, 
96, 0.25038153, 
97, 0.24995714, 
98, 0.25037068, 
99, 0.24994883, 
100, 0.25035986, 
101, 0.2499403, 
102, 0.25034907, 
103, 0.24993154, 
104, 0.25033817, 
105, 0.24992254, 
106, 0.2503272, 
107, 0.24991322, 
108, 0.25031614, 
109, 0.24990362, 
110, 0.25030494, 
111, 0.24989362, 
112, 0.2502935, 
113, 0.2498833, 
114, 0.25028184, 
115, 0.2498726, 
116, 0.25026995, 
117, 0.24986151, 
118, 0.25025782, 
119, 0.2498501, 
120, 0.2502454, 
121, 0.24983823, 
122, 0.25023264, 
123, 0.249826, 
